"start_time","end_time","title"
2023-11-30 07:00:00.102,2023-11-30 09:20:00.102,聽演講、交流
2023-11-30 06:30:00.242,2023-11-30 07:00:00.242,Traffic ｜ 計程車到南港
2023-11-30 05:49:00.490,2023-11-30 06:30:00.490,雜事
2023-11-30 04:28:00.558,2023-11-30 05:49:00.558,Rest | 吃飯
2023-11-30 03:49:00.444,2023-11-30 04:28:00.444,Work | util service 交接文檔撰寫
2023-11-30 03:31:00.924,2023-11-30 03:49:00.924,Work | 雜事
2023-11-30 03:14:00.375,2023-11-30 03:31:00.375,雜事
2023-11-30 02:55:00.171,2023-11-30 03:14:00.171,Work ｜ 處理 mmbot 安全問題
2023-11-30 02:46:00.821,2023-11-30 02:55:00.821,Rest
2023-11-30 01:35:00.490,2023-11-30 02:46:00.490,Work ｜ 處理 mmbot 安全問題
2023-11-30 01:21:00.796,2023-11-30 01:35:00.796,Traffic
2023-11-30 00:22:00.057,2023-11-30 01:20:00.057,曬衣服、準備出門
2023-11-29 18:46:00.020,2023-11-30 00:22:00.020,Sleep
2023-11-29 18:02:00.128,2023-11-29 18:46:00.128,刷牙
2023-11-29 17:16:00.541,2023-11-29 18:02:00.541,Work | Better Self 加入 template
2023-11-29 15:53:00.000,2023-11-29 17:16:00.000,雜事
2023-11-29 15:21:00.306,2023-11-29 15:53:00.306,Better Self 加入 Template
2023-11-29 14:27:00.896,2023-11-29 15:21:00.896,看影片
2023-11-29 14:15:00.613,2023-11-29 14:27:00.614,走回家
2023-11-29 14:10:00.020,2023-11-29 14:15:00.020,騎車回家
2023-11-29 11:33:00.000,2023-11-29 14:10:00.000,聽演講 炙星
2023-11-29 11:00:00.126,2023-11-29 11:33:00.126,騎車到炙星
2023-11-29 10:41:00.348,2023-11-29 11:00:00.348,跟 Bryan 聊天
2023-11-29 10:20:00.943,2023-11-29 10:41:00.943,跟人聊天 Moana、Nia
2023-11-29 10:00:00.055,2023-11-29 10:20:00.055,搜尋資料
2023-11-29 09:54:00.865,2023-11-29 10:00:00.865,休息
2023-11-29 09:39:00.151,2023-11-29 09:54:00.151,MM bot 安全問題
2023-11-29 08:53:00.318,2023-11-29 09:39:00.318,MM bot 安全問題
2023-11-29 08:45:00.706,2023-11-29 08:53:00.706,休息
2023-11-29 08:15:00.733,2023-11-29 08:45:00.733,MM bot 安全問題
2023-11-29 07:42:00.428,2023-11-29 08:15:00.428,雜務
2023-11-29 07:18:00.133,2023-11-29 07:42:00.133,MyExchange 安全問題修理
2023-11-29 07:01:00.344,2023-11-29 07:18:00.344,Gary 需求插單
2023-11-29 06:53:00.056,2023-11-29 07:01:00.056,雜務
2023-11-29 06:40:00.063,2023-11-29 06:53:00.063,休息
2023-11-29 06:00:00.913,2023-11-29 06:40:00.913,Earn 安全問題修理
2023-11-29 04:51:00.983,2023-11-29 06:00:00.983,跟 Danny、Wacker、Rock 吃飯
2023-11-29 02:31:00.428,2023-11-29 04:51:00.428,雜事
2023-11-29 01:40:00.004,2023-11-29 02:31:00.004,雜事
2023-11-29 01:23:00.880,2023-11-29 01:40:00.880,走到公司
2023-11-29 00:54:00.384,2023-11-29 01:23:00.384,問銀行匯款事宜
2023-11-28 17:53:00.753,2023-11-29 00:54:00.753,睡覺
2023-11-28 17:40:00.496,2023-11-28 17:53:00.497,拉筋
2023-11-28 17:03:00.000,2023-11-28 17:40:00.000,刷牙、洗澡
2023-11-28 16:46:00.290,2023-11-28 17:03:00.290,上架 Next Step
2023-11-28 16:00:00.373,2023-11-28 16:46:00.373,刷牙
2023-11-28 15:00:00.000,2023-11-28 16:00:00.000,Better Self | new layout
2023-11-28 14:39:00.000,2023-11-28 15:00:00.000,跟哥聊天
2023-11-28 13:50:00.537,2023-11-28 14:39:00.537,跟 Eric 聊 better self
2023-11-28 13:07:00.839,2023-11-28 13:50:00.839,跟媽聊天
2023-11-28 12:30:00.000,2023-11-28 13:07:00.000,跟 Jacky 開會
2023-11-28 11:55:00.811,2023-11-28 12:30:00.811,雜事
2023-11-28 11:12:00.608,2023-11-28 11:55:00.608,晚餐
2023-11-28 10:40:00.462,2023-11-28 11:12:00.462,走路回家 +買晚餐
2023-11-28 09:30:00.524,2023-11-28 10:40:00.524,Accounting 
2023-11-28 08:50:00.123,2023-11-28 09:30:00.123,跟 Gary 聊天
2023-11-28 08:33:00.000,2023-11-28 08:50:00.000,跟 Naro 聊天
2023-11-28 07:34:00.140,2023-11-28 08:33:00.140,Accounting 新增 API
2023-11-28 07:00:00.462,2023-11-28 07:34:00.462,雜務、聽別人討論
2023-11-28 06:00:00.816,2023-11-28 07:00:00.816,Backend Regular meeting
2023-11-28 04:00:00.695,2023-11-28 05:45:00.695,吃飯聊天 with Andrea
2023-11-28 03:03:00.000,2023-11-28 04:00:00.000,會議 | Tech overview
2023-11-28 02:00:00.212,2023-11-28 03:00:00.212,Accounting new API
2023-11-28 01:26:00.122,2023-11-28 02:03:00.122,雜務 | 約人
2023-11-28 01:00:00.975,2023-11-28 01:26:00.975,走到公司
2023-11-28 00:16:00.169,2023-11-28 01:00:00.169,休息
2023-11-27 17:26:00.586,2023-11-28 00:16:00.586,睡覺
2023-11-27 16:26:00.545,2023-11-27 17:26:00.545,洗澡、刷牙
2023-11-27 16:11:00.739,2023-11-27 16:26:00.739,福海：怎麼去獲取公司資源
2023-11-27 15:02:00.000,2023-11-27 16:11:00.000,福海：怎麼去獲取公司資源
2023-11-27 14:41:00.681,2023-11-27 15:02:00.681,福海雜務
2023-11-27 13:15:00.580,2023-11-27 14:41:00.580,福海雜物
2023-11-27 12:59:00.350,2023-11-27 13:15:00.350,睡覺
2023-11-27 12:17:00.051,2023-11-27 12:59:00.051,BS 新增 landing page 和新架構
2023-11-27 10:46:00.465,2023-11-27 12:17:00.465,吃晚餐
2023-11-27 09:27:00.960,2023-11-27 10:46:00.961,雜事
2023-11-27 08:20:00.284,2023-11-27 09:27:00.284,Accounting
2023-11-27 07:34:00.742,2023-11-27 08:20:00.742,雜事
2023-11-27 05:55:00.467,2023-11-27 07:34:00.467,雜事
2023-11-27 04:45:00.072,2023-11-27 05:55:00.072,跟 Chad 吃飯
2023-11-27 03:39:00.687,2023-11-27 04:45:00.687,看 rabbitmq
2023-11-27 02:56:00.421,2023-11-27 03:39:00.421,雜事
2023-11-27 01:40:00.923,2023-11-27 02:56:00.923,雜事
2023-11-27 01:10:00.997,2023-11-27 01:40:00.997,走到公司
2023-11-27 00:49:00.913,2023-11-27 01:10:00.913,準備出門
2023-11-26 16:34:00.567,2023-11-27 00:49:00.567,睡覺
2023-11-26 16:10:00.480,2023-11-26 16:34:00.480,拉筋
2023-11-27 15:35:00.537,2023-11-26 16:10:00.537,刷牙
2023-11-26 15:26:00.492,2023-11-26 15:35:00.492,回訊息
2023-11-26 15:10:00.085,2023-11-26 15:26:00.085,洗澡
2023-11-26 13:50:00.000,2023-11-26 15:10:00.000,Snowball 例會
2023-11-26 12:30:00.008,2023-11-26 13:50:00.009,跟 Jacky 開會
2023-11-26 12:06:00.000,2023-11-26 12:30:00.000,雜事
2023-11-26 10:30:00.860,2023-11-26 12:06:00.860,Better Self 加刪除、更新功能
2023-11-26 09:00:00.000,2023-11-26 10:30:00.000,吃晚餐
2023-11-26 07:59:00.455,2023-11-26 08:00:00.455,雜事
2023-11-26 07:30:00.201,2023-11-26 07:59:00.201,聽詹雨安的文章
2023-11-26 07:15:00.272,2023-11-26 07:30:00.272,睡覺
2023-11-26 07:01:00.670,2023-11-26 07:15:00.670,看影片
2023-11-26 05:33:00.731,2023-11-26 07:01:00.731,Travelife 規劃
2023-11-26 05:03:00.002,2023-11-26 05:33:00.002,休息
2023-11-26 04:22:00.125,2023-11-26 05:03:00.125,福海雜事
2023-11-26 04:05:00.204,2023-11-26 04:22:00.204,休息
2023-11-26 03:30:00.770,2023-11-26 04:05:00.770,吃午餐
2023-11-26 02:30:00.000,2023-11-26 03:46:00.000,Better Self 加入刪除更新功能
2023-11-26 03:00:00.777,2023-11-26 03:30:00.777,Snowball 用戶訪談 Sky
2023-11-26 02:30:00.513,2023-11-26 03:00:00.513,雜事
2023-11-26 01:00:00.353,2023-11-26 02:30:00.353,Snowball 使用者訪談 Brain
2023-11-26 00:30:00.553,2023-11-26 01:00:00.553,吃早餐
2023-11-25 14:20:00.598,2023-11-25 14:46:00.598,和 LuLu 聊天
2023-11-25 13:44:00.883,2023-11-25 14:20:00.883,騎車回家
2023-11-25 10:30:00.320,2023-11-25 13:44:00.320,和伯瑞聊天
2023-11-25 09:50:00.800,2023-11-25 10:30:00.800,騎車去咖啡廳
2023-11-25 08:59:00.785,2023-11-25 09:50:00.785,福海寫網站
2023-11-25 08:46:00.085,2023-11-25 08:59:00.085,""
2023-11-25 08:30:00.538,2023-11-25 08:46:00.538,雜事
2023-11-25 06:45:00.111,2023-11-25 08:30:00.111,Travelife 意見搜集
2023-11-25 06:10:00.196,2023-11-25 06:45:00.196,騎車到咖啡店
2023-11-25 05:50:00.934,2023-11-25 06:10:00.934,準備出門
2023-11-25 05:19:00.458,2023-11-25 05:50:00.458,看 YC startup school
2023-11-25 04:18:00.482,2023-11-25 05:19:00.482,看影片
2023-11-25 02:06:00.266,2023-11-25 04:18:00.266,Better Self 訪談
2023-11-25 01:50:00.067,2023-11-25 02:06:00.067,看矽谷 101 影片
2023-11-25 01:00:00.230,2023-11-25 01:50:00.230,吃早餐
2023-11-24 18:21:00.734,2023-11-25 01:00:00.734,睡覺
2023-11-24 18:02:00.144,2023-11-24 18:21:00.145,刷牙、準備睡覺
2023-11-24 16:37:00.666,2023-11-24 18:02:00.667,和丹尼爾聊天
2023-11-25 14:57:00.385,2023-11-24 16:37:00.385,雜事
2023-11-24 14:43:00.198,2023-11-24 14:57:00.198,YC startup school
2023-11-24 13:00:00.483,2023-11-24 14:43:00.483,Better Self | add statistic function of a day
2023-11-24 12:06:00.314,2023-11-24 13:00:00.314,Snowball Debug
2023-11-24 11:00:00.453,2023-11-24 12:06:00.453,吃飯
2023-11-24 10:30:00.577,2023-11-24 11:00:00.577,騎車回家
2023-11-24 08:30:00.292,2023-11-24 10:30:00.292,跟 Jacky 聊天
2023-11-24 05:26:00.254,2023-11-24 08:30:00.254,聽演講
2023-11-24 05:10:00.268,2023-11-24 05:26:00.269,騎去展覽
2023-11-24 04:00:00.799,2023-11-24 05:10:00.799,後端 Team build
2023-11-24 03:41:00.885,2023-11-24 04:00:00.885,聽別人聊面試
2023-11-24 03:31:00.479,2023-11-24 03:41:00.480,聽面試心得
2023-11-24 02:38:00.967,2023-11-24 03:31:00.967,把 AUS2.0 文檔整理好
2023-11-24 01:58:00.716,2023-11-24 02:38:00.716,整理本機文檔
2023-11-24 01:04:00.488,2023-11-24 01:58:00.488,"看 short 文檔, 寫 AUS 文檔"
2023-11-24 00:36:00.543,2023-11-24 01:04:00.543,走到公司
2023-11-23 17:01:00.222,2023-11-24 00:36:00.222,睡覺
2023-11-23 16:32:00.144,2023-11-23 17:01:00.144,刷牙
2023-11-24 15:40:00.843,2023-11-23 16:32:00.843,讀文章：商業開發
2023-11-23 15:18:00.722,2023-11-23 15:40:00.722,洗澡
2023-11-23 14:06:00.410,2023-11-23 15:18:00.410,Better Self | 後端 Record update / delete API
2023-11-23 13:00:00.580,2023-11-23 14:06:00.580,怪獸小聚小聊
2023-11-23 11:58:00.984,2023-11-23 13:00:00.985,吃晚餐
2023-11-23 11:10:00.834,2023-11-23 11:58:00.834,走回家
2023-11-23 11:00:00.111,2023-11-23 11:10:00.111,跟 Wayne 聊天
2023-11-23 08:00:00.685,2023-11-23 09:56:00.686,寫 AUS doc
2023-11-23 07:00:00.531,2023-11-23 08:00:00.531,one on one with Aug
2023-11-23 06:30:00.197,2023-11-23 07:00:00.197,""
2023-11-23 06:15:00.981,2023-11-23 06:30:00.981,AUS2.0 doc write
2023-11-23 06:01:00.735,2023-11-23 06:15:00.736,上廁所
2023-11-23 05:30:00.328,2023-11-23 06:01:00.328,睡覺
2023-11-23 04:00:00.811,2023-11-23 05:30:00.811,跟 Vince one on one
2023-11-23 02:13:00.892,2023-11-23 04:00:00.892,""
2023-11-23 01:57:00.246,2023-11-23 02:13:00.246,雜務
2023-11-23 01:30:00.831,2023-11-23 01:57:00.831,走到公司
2023-11-22 18:00:00.941,2023-11-23 01:30:00.941,睡覺
2023-11-22 17:27:00.111,2023-11-22 18:00:00.111,準備睡覺
2023-11-22 17:02:00.454,2023-11-22 17:27:00.454,洗澡
